char,actor
Tevye,PatrickMcCarty
Golde,KarinHarvey-Olsen
Tzeitel,LaurenBusa
Hodel,KatieGiannokopoulos
Chava,LindseyMurch
Shprintze,HadleyHarris
Bielke,EmmaMelanson
Yente,LucySpencer
Motel,WilliamDesharnais
Perchik,DuncanMcGrath
Avram,MelBucklin
LazarWolf,JimO'Mara
Rabbi,RussellArrowsmith
Constable,JonNoble
Yussel,AllyLaManna
Shaindel,KarenHammes
Sasha,BenErdody
Russian,CristaBurrell
Robyn,RobynHolley
RebNachum,RichSparks
Patti,PattiO'Mara
Mendel,GabeGarcia
Libby,LibbySt.Jean
Kerri,KerriGoolsby
Innkeeper,SteveKelley
GrandmaTzeitel,PattyHelbig
Fyedka,LukeCrory
FrumaSarah,LauraMajore
Deb,DebCurran
HangingMics,HangingMics
