Move,Id,A,S,Page,Title,Cue,Entrances,Exits,OnStage,Note1,Note2,Note3 
1,1.1,1,PR,1,Tevye On,Lights Up,Tevye (Patrick McCarty),,Tevye (Patrick McCarty),,,
2,1.4,1,PR,1,Tevye Off,"Singing ""Tradition"" starts",Hanging Mics (Hanging Mics),Tevye (Patrick McCarty),Hanging Mics (Hanging Mics),,,
3,2.10,1,PR,2,Tevye On,Dialogue break in song,Tevye (Patrick McCarty),Hanging Mics (Hanging Mics),Tevye (Patrick McCarty),,,
4,2.11,1,PR,2,"Yente, Avram ON","Tevye: ""Yente, the matchmaker""","Avram (Mel Bucklin), Yente (Lucy Spencer)",,"Tevye (Patrick McCarty), Avram (Mel Bucklin), Yente (Lucy Spencer)",,,
5,3.5,1,PR,3,"Yen, Av OFF Laz, Beg ON","Yente ""...a perfect match""","Lazar Wolf (Jim O'Mara), Reb Nachum (Rich Sparks)","Avram (Mel Bucklin), Yente (Lucy Spencer)","Tevye (Patrick McCarty), Lazar Wolf (Jim O'Mara), Reb Nachum (Rich Sparks)",,,
6,3.11,1,PR,3,"Beg, Laz OFF Mend, Rab ON","""Why should I suffer?""","Mendel (Gabe Garcia), Rabbi (Russell Arrowsmith)","Lazar Wolf (Jim O'Mara), Reb Nachum (Rich Sparks)","Tevye (Patrick McCarty), Mendel (Gabe Garcia), Rabbi (Russell Arrowsmith)",,,
7,3.17,1,PR,3,"Tev, Mend, Rab OFF","""...far away from us!""",,"Tevye (Patrick McCarty), Mendel (Gabe Garcia), Rabbi (Russell Arrowsmith)",,,,
8,3.17A,1,PR,3,"Tevye, Hanging mics ON",End of short dance break,"Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,"Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,,
9,4.7,1, 1,4,Tevye OFF,"""...as a fiddler on the roof!""",,"Tevye (Patrick McCarty), Hanging Mics (Hanging Mics)",,,,
10,4.8,1, 1,4,"Shp, Biel, Tz, Hod, Gol ON",A1 S1 Lights up,"Tzeitel (Lauren Busa), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,"Tzeitel (Lauren Busa), Hodel (Katie Giannokopoulos), Golde (Karin Harvey-Olsen), Bielke (Emma Melanson), Shprintze (Hadley Harris)",,,
